Study_Hours,Attendance,Previous_Marks,Assignment_Score,Project_Requirements,Result
7.6,81.3,83.9,95.5,Met,PASS
4.7,84.2,81.8,42.8,Met,PASS
8.3,58.8,45.1,42.6,Met,PASS
6.9,73.7,64.5,40.7,Met,FAIL
1.8,56.9,69.4,77.8,Met,FAIL
9.3,77.2,86.4,62.2,Met,PASS
7.5,69.8,69.2,85.3,Met,PASS
7.7,61.5,56.8,78.6,Met,PASS
2.1,59.7,54.3,56.7,Met,FAIL
4.8,81.4,57.7,93.4,Met,PASS
4.2,62.7,72.4,84.6,Met,PASS
8.9,96.6,86.4,52.6,Met,PASS
6.5,81.1,59.5,58.7,Met,PASS
8.0,70.6,46.1,55.4,Met,PASS
4.8,81.6,45.4,45.2,Not Met,FAIL
2.9,56.0,78.5,44.6,Met,PASS
5.7,98.1,83.1,95.8,Met,PASS
1.5,76.7,36.8,63.5,Met,FAIL
8.0,90.2,34.3,59.9,Met,PASS
6.4,58.7,68.6,82.4,Met,PASS
7.4,76.9,39.5,70.9,Not Met,FAIL
4.0,77.1,83.6,95.8,Not Met,FAIL
9.3,97.2,50.2,85.7,Not Met,FAIL
8.6,80.7,39.4,66.2,Met,PASS
7.6,76.3,89.9,59.5,Met,PASS
2.7,67.0,40.8,99.1,Not Met,FAIL
5.0,69.9,48.5,81.7,Met,PASS
1.4,78.4,40.0,96.8,Not Met,FAIL
2.3,74.8,37.5,42.7,Met,FAIL
6.8,56.0,31.4,90.3,Met,PASS
7.3,92.2,33.6,76.4,Met,PASS
9.2,95.3,41.4,42.9,Not Met,FAIL
3.8,61.3,33.5,73.2,Met,FAIL
4.1,79.9,68.4,79.6,Met,PASS
5.0,59.9,74.2,35.8,Met,PASS
2.6,85.3,55.6,64.5,Met,FAIL
2.1,67.7,50.7,88.7,Met,FAIL
5.0,84.7,62.8,54.2,Not Met,FAIL
2.9,87.7,86.9,64.8,Met,PASS
6.7,89.6,85.3,63.8,Not Met,PASS
4.7,59.8,32.8,54.6,Not Met,FAIL
8.1,96.2,41.8,94.7,Met,PASS
7.0,65.4,45.4,85.8,Met,PASS
3.7,56.7,46.2,42.2,Met,FAIL
8.1,80.0,67.1,99.8,Met,PASS
7.8,71.7,57.1,92.1,Met,PASS
4.3,92.3,33.2,53.5,Not Met,FAIL
3.5,91.4,54.3,89.4,Not Met,FAIL
6.8,69.3,64.0,41.9,Not Met,FAIL
2.2,97.9,36.6,99.9,Met,FAIL
2.7,68.1,84.2,78.3,Met,PASS
1.1,78.2,33.4,77.3,Met,FAIL
7.7,66.5,90.1,40.9,Met,PASS
6.7,97.1,36.4,93.3,Met,PASS
7.0,62.4,84.8,36.9,Met,PASS
7.6,57.0,88.7,50.7,Met,PASS
4.9,74.6,93.7,44.3,Met,FAIL
5.8,99.7,82.1,85.5,Met,PASS
2.2,95.1,80.7,47.9,Met,PASS
2.0,88.7,71.8,94.2,Not Met,FAIL
6.7,95.1,80.6,77.7,Not Met,PASS
5.0,95.2,38.7,37.4,Met,PASS
5.8,78.3,64.8,35.4,Not Met,FAIL
7.5,69.2,63.4,38.4,Not Met,FAIL
6.4,89.7,85.7,74.4,Met,PASS
5.7,84.8,60.1,87.1,Met,PASS
5.8,71.8,55.0,50.5,Met,PASS
3.6,59.3,71.6,90.2,Met,PASS
1.3,88.6,47.3,38.7,Not Met,FAIL
4.7,66.8,39.1,87.1,Met,PASS
2.8,97.2,61.1,95.3,Met,PASS
4.5,65.8,57.1,85.2,Met,PASS
8.3,60.5,45.1,80.4,Met,PASS
3.0,92.4,53.9,89.5,Not Met,FAIL
1.5,61.9,53.8,37.6,Met,FAIL
3.4,63.1,51.3,48.1,Met,FAIL
3.5,82.0,54.7,43.1,Met,FAIL
6.6,94.4,74.6,67.8,Met,PASS
5.7,63.8,49.3,83.4,Met,PASS
7.7,69.0,91.7,76.0,Met,PASS
6.6,90.0,89.6,90.3,Met,PASS
4.5,98.7,61.3,45.1,Met,PASS
7.9,77.5,51.3,82.8,Not Met,FAIL
2.4,61.5,64.8,47.5,Met,FAIL
1.2,55.6,85.2,52.6,Met,FAIL
1.8,65.3,72.4,81.1,Met,FAIL
7.1,60.9,82.3,98.7,Not Met,PASS
4.9,85.5,64.6,74.8,Met,PASS
2.4,60.5,71.1,38.5,Met,FAIL
5.3,77.8,48.7,75.1,Met,FAIL
2.3,86.2,77.8,37.8,Met,PASS
6.9,81.2,43.2,92.5,Not Met,FAIL
4.8,64.0,75.2,81.1,Met,FAIL
4.2,91.2,85.9,46.3,Not Met,FAIL
3.6,87.2,38.6,41.0,Not Met,FAIL
6.4,88.3,69.9,46.9,Met,PASS
4.1,60.9,36.2,98.7,Not Met,FAIL
1.7,60.6,77.2,64.8,Met,PASS
2.0,96.7,35.5,86.0,Not Met,FAIL
9.2,72.9,90.8,76.4,Met,PASS
8.7,68.5,38.9,72.2,Met,PASS
6.9,77.0,92.3,44.4,Met,PASS
3.3,84.8,82.1,96.5,Met,PASS
9.2,98.0,68.6,54.6,Met,PASS
7.6,67.9,80.9,72.6,Not Met,PASS
7.1,96.6,81.7,80.5,Met,PASS
4.8,56.1,91.5,77.2,Met,PASS
3.3,80.0,46.5,96.1,Met,PASS
1.8,83.5,68.4,44.6,Met,FAIL
8.7,59.8,36.2,68.0,Met,PASS
4.9,61.3,70.1,61.3,Not Met,FAIL
2.7,73.9,41.1,65.8,Met,FAIL
3.6,98.5,66.7,42.7,Met,PASS
5.9,81.8,67.2,43.7,Met,PASS
2.5,97.0,60.3,53.1,Met,FAIL
8.3,91.2,64.0,54.8,Met,PASS
7.4,76.0,79.7,62.8,Met,PASS
7.1,90.3,82.0,74.7,Met,PASS
4.7,55.8,62.0,76.3,Not Met,FAIL
6.3,59.9,69.0,61.8,Met,FAIL
